,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,1-2020,2-2020,3-2020,4-2020,5-2020,6-2020,7-2020,8-2020,9-2020,10-2020,11-2020,12-2020,1-2021,2-2021,3-2021,4-2021,5-2021,6-2021,7-2021,8-2021,9-2021,10-2021,11-2021,12-2021,1-2022,2-2022,3-2022,4-2022,5-2022,6-2022,7-2022,8-2022,9-2022,10-2022,11-2022,12-2022,1-2023,2-2023,3-2023,4-2023,5-2023,6-2023,7-2023,8-2023,9-2023,10-2023,11-2023,12-2023,1-2024,2-2024,3-2024,4-2024,5-2024,6-2024,7-2024,8-2024,9-2024,10-2024,11-2024,12-2024,1-2025,2-2025,3-2025,4-2025,5-2025,6-2025,7-2025,8-2025,9-2025
Belgium,230.427,273.810,361.816,476.826,505.001,451.665,668.097,706.934,463.259,512.846,387.306,513.053,282.760,328.392,414.004,659.768,579.787,628.744,857.811,881.859,570.524,661.484,484.036,638.093,380.619,468.530,243.181,58.803,68.312,236.901,853.213,756.016,443.895,324.861,289.369,343.672,238.564,362.251,278.319,559.697,472.759,436.579,939.339,959.755,574.810,646.095,494.403,557.390,427.420,464.724,491.507,869.782,767.674,795.141,1.245.213,1.262.175,802.810,910.036,630.124,817.026,492.515,567.375,605.683,1.057.917,1.043.830,945.545,1.428.016,1.378.604,930.892,1.003.625,669.758,950.564,509.583,606.957,861.070,955.992,1.270.837,969.985,1.564.218,1.620.377,938.475,1.099.264,805.459,1.077.779,576.034,641.403,742.658,1.319.135,1.280.754,1.198.006,1.666.733,1.734.346,988.359
Bulgaria,100.224,107.252,95.147,113.749,130.340,329.214,675.214,726.493,262.139,109.717,76.226,116.919,112.292,119.142,109.030,121.615,134.860,335.012,693.822,806.009,261.950,127.500,91.035,134.855,142.060,153.846,65.117,15.858,25.858,77.690,292.717,469.862,202.395,82.187,42.740,58.495,61.012,66.424,58.707,63.080,102.186,167.254,525.647,686.735,210.156,98.222,63.978,104.230,110.947,134.522,154.396,168.944,183.397,315.738,667.374,729.748,275.076,179.525,132.822,177.997,173.099,219.084,176.695,198.322,194.857,370.280,759.659,840.005,351.748,218.581,158.622,221.335,201.025,257.140,221.638,208.052,260.885,430.023,829.899,942.514,389.819,249.609,190.851,265.793,277.588,308.007,247.228,261.748,295.181,490.300,876.106,977.148,409.194
Czechia,431.533,512.922,554.707,629.890,787.021,711.886,1.079.647,1.063.756,736.367,708.630,458.768,724.378,505.284,587.602,530.154,796.019,805.177,867.511,1.182.738,1.200.552,760.276,844.070,516.493,804.677,571.610,701.718,236.102,39.260,64.424,211.673,611.251,659.565,303.499,115.473,51.882,72.642,59.060,60.744,36.096,51.601,97.761,212.464,626.310,638.420,382.192,363.944,232.653,270.454,249.227,396.716,366.272,484.066,501.604,594.680,969.692,949.393,594.010,612.157,391.442,596.321,470.947,607.840,473.034,715.115,707.582,729.789,1.168.615,1.156.162,787.825,745.482,502.198,811.922,539.582,748.504,706.747,686.738,1.053.282,866.281,1.354.316,1.405.092,792.634,934.092,600.041,991.949,668.930,835.197,596.023,982.163,1.050.188,1.070.383,1.453.915,1.548.644,911.793
Denmark,130.333,139.864,227.859,252.296,439.196,434.607,844.155,755.662,356.913,304.241,197.072,248.499,144.012,148.702,194.046,355.912,400.232,504.213,1.024.898,799.329,333.035,334.215,189.285,253.193,158.111,180.420,117.165,78.739,113.600,188.042,822.103,595.195,252.622,262.095,88.014,97.424,72.939,134.074,130.216,140.958,162.630,207.980,747.600,649.457,281.094,338.960,174.161,180.770,114.671,158.379,186.928,363.699,362.411,485.553,1.080.361,868.375,357.676,359.696,193.141,245.642,162.961,185.954,231.092,469.840,501.929,590.481,1.298.422,1.126.218,468.032,483.625,247.769,351.677,189.891,218.701,408.628,394.755,669.430,706.765,1.510.668,1.401.286,547.152,546.271,287.561,405.714,247.859,258.007,312.732,609.820,707.703,810.820,1.684.589,1.572.728,603.977
Germany,1.193.626,1.485.907,1.904.198,2.007.613,2.786.230,2.705.928,4.003.170,3.879.098,3.159.526,2.960.508,1.628.763,2.261.029,1.509.718,1.771.463,2.003.719,3.115.871,3.058.450,3.837.786,4.990.311,4.840.332,3.599.161,3.843.674,1.980.235,2.685.106,1.766.732,2.256.010,1.227.253,457.161,1.381.871,3.190.030,4.992.632,5.438.919,3.906.240,3.757.272,705.909,503.126,508.594,517.410,659.089,654.132,1.461.948,2.708.778,4.758.208,5.130.711,3.706.284,3.883.249,1.763.870,1.845.608,1.639.149,1.865.767,2.079.942,3.506.325,3.656.209,4.379.757,5.834.638,5.771.305,4.283.523,4.342.757,2.272.822,2.849.461,2.097.318,2.389.819,2.533.809,4.267.521,4.652.361,4.759.549,6.255.216,6.041.658,4.931.119,4.960.075,2.707.929,3.682.067,2.329.585,2.860.170,3.991.342,3.946.758,6.163.274,5.984.820,7.989.051,8.017.867,5.693.379,5.905.729,3.188.871,4.349.162,2.778.666,3.052.683,3.577.539,5.931.661,6.271.208,7.040.001,8.852.719,9.309.076,6.140.087
Estonia,59.676,48.285,60.020,66.942,91.372,148.686,267.566,211.186,84.094,81.675,65.872,94.927,72.959,58.198,66.444,86.211,120.192,173.043,300.215,240.803,102.446,99.836,87.231,115.760,95.742,80.492,45.832,19.614,27.210,69.049,168.581,133.070,48.384,41.708,33.367,43.042,35.884,37.237,31.260,38.129,44.287,83.688,177.537,139.859,64.271,68.279,53.922,73.163,54.955,56.792,65.464,81.098,84.222,140.843,258.128,194.679,90.273,92.034,68.624,99.089,62.998,69.424,67.314,92.489,101.437,171.310,302.642,226.433,99.836,96.222,73.074,119.048,70.874,79.802,92.833,100.024,133.256,202.171,356.426,275.220,117.409,113.079,92.552,136.935,80.934,86.677,84.317,115.939,137.315,230.758,388.732,291.672,119.225
Ireland,178.424,222.963,378.380,429.871,612.685,703.386,984.538,1.088.220,608.793,496.130,316.511,338.029,226.209,263.305,421.097,589.506,653.322,794.161,1.091.609,1.167.128,602.139,490.967,292.582,319.638,214.482,261.720,201.022,45.618,45.919,108.682,609.947,791.043,351.319,106.348,53.430,130.313,52.067,42.415,50.940,70.040,156.567,476.745,904.310,856.057,356.800,314.990,182.848,208.088,136.772,183.947,272.026,459.621,436.170,635.986,990.277,989.345,506.237,392.186,261.388,290.258,174.997,233.173,336.720,551.441,558.334,729.986,1.045.675,1.148.840,597.816,469.762,295.723,332.197,185.354,254.072,458.850,486.714,748.172,862.328,1.179.731,1.359.011,692.002,535.715,328.939,349.713,215.993,276.197,428.764,668.047,821.647,931.883,1.338.362,1.471.309,767.417
Greece,213.031,244.034,427.814,869.957,1.399.320,2.657.853,4.592.207,5.096.128,2.825.333,1.177.057,411.599,426.028,303.388,320.465,477.636,1.229.992,1.539.456,3.177.235,5.314.012,6.093.887,3.238.324,1.511.563,525.809,570.382,446.570,462.368,254.937,69.016,113.508,316.873,1.816.227,3.008.115,1.338.627,825.076,166.801,118.175,120.182,111.990,128.493,154.380,477.623,1.551.820,4.419.982,5.388.074,2.676.681,1.555.000,507.879,485.597,350.644,366.432,582.135,1.467.470,1.959.531,4.076.882,7.340.199,7.851.175,4.252.201,2.020.509,652.374,701.945,545.097,565.420,748.915,1.849.527,2.487.816,5.053.073,8.510.104,9.015.103,5.328.585,2.499.528,885.185,957.965,641.045,676.119,1.128.601,2.071.460,3.289.797,6.021.837,9.434.792,10.402.697,6.289.337,3.216.293,1.055.812,1.143.611,831.638,840.888,1.168.675,2.657.048,3.667.765,7.087.020,10.727.987,11.574.399,7.035.858
Spain,3.720.532,4.250.153,5.817.924,6.405.052,6.848.154,9.000.485,14.523.369,16.839.627,9.262.410,7.438.260,4.614.588,5.668.198,4.341.121,4.889.462,5.696.901,8.330.262,7.606.919,10.375.024,15.802.640,18.870.600,10.038.818,8.064.429,5.115.101,6.470.706,5.046.024,5.876.834,2.629.428,335.224,405.696,1.509.709,8.082.249,11.542.368,3.568.722,2.282.500,1.145.069,1.783.086,1.218.173,1.108.805,1.824.625,2.179.303,3.285.789,5.677.105,12.796.766,15.953.135,7.666.572,7.192.069,4.631.647,5.738.302,4.441.758,5.512.006,5.920.461,9.401.374,8.445.512,11.136.168,18.269.902,20.352.121,11.022.300,9.418.559,6.159.680,7.874.180,6.413.515,7.124.892,7.605.862,11.607.364,9.892.053,12.378.707,19.949.603,23.022.599,12.997.843,11.902.043,7.978.663,10.183.081,7.922.577,9.282.223,11.675.723,11.494.204,13.478.453,15.329.350,23.937.719,27.900.477,15.460.137,13.749.167,9.407.612,10.953.902,9.308.751,10.420.804,11.031.826,15.530.167,14.906.342,17.800.568,26.425.541,29.866.412,16.723.801
France,3.121.377,4.198.966,4.833.280,5.543.383,6.797.942,7.287.319,14.845.184,17.581.413,6.787.588,5.494.690,3.442.883,5.549.389,3.714.503,5.092.539,4.978.269,7.568.503,6.740.921,9.444.840,16.687.646,20.580.331,7.577.137,6.451.006,4.136.930,6.480.710,4.700.731,6.863.096,3.044.127,630.284,1.456.300,3.890.740,15.780.170,21.625.519,6.014.067,5.091.318,1.423.591,4.085.675,3.256.668,5.321.732,4.082.677,2.725.292,6.672.162,6.673.879,19.358.518,22.832.112,7.914.415,7.360.280,5.163.967,7.449.372,5.320.881,8.169.936,6.508.272,10.114.763,9.830.090,11.265.186,23.515.500,26.981.482,10.415.756,9.319.183,6.194.268,9.531.201,6.875.876,9.591.463,7.673.974,12.768.818,13.522.067,13.106.979,23.960.382,29.029.323,12.922.434,11.373.441,6.741.910,11.544.703,8.229.260,10.875.111,11.711.158,12.276.553,16.895.727,15.524.290,29.343.774,37.695.436,14.559.405,13.025.306,8.716.735,13.536.080,9.650.092,12.589.884,10.662.868,16.288.365,17.588.706,18.796.196,33.236.243,40.372.240,15.273.604
